Date,Utilisation
"Oct 28, 2005",82.5
"Nov 04, 2005",84
"Nov 11, 2005",86.2
"Nov 18, 2005",88.1
"Nov 25, 2005",89.3
"Dec 02, 2005",90.6
"Dec 09, 2005",89.6
"Dec 16, 2005",88
"Dec 23, 2005",88.9
"Dec 30, 2005",89.9
"Jan 06, 2006",89.8
"Jan 13, 2006",86.5
"Jan 20, 2006",86.2
"Jan 27, 2006",87
"Feb 03, 2006",85.8
"Feb 10, 2006",86.1
"Feb 17, 2006",86.6
"Feb 24, 2006",85.2
"Mar 03, 2006",83
"Mar 10, 2006",85.7
"Mar 17, 2006",86.7
"Mar 24, 2006",87
"Mar 31, 2006",85.9
"Apr 07, 2006",85.6
"Apr 14, 2006",86.2
"Apr 21, 2006",88.2
"Apr 28, 2006",88.8
"May 05, 2006",90.2
"May 12, 2006",89.8
"May 19, 2006",89.7
"May 26, 2006",91.4
"Jun 02, 2006",91
"Jun 09, 2006",92.7
"Jun 16, 2006",93.3
"Jun 23, 2006",93.8
"Jun 30, 2006",93.1
"Jul 07, 2006",90.5
"Jul 14, 2006",92.9
"Jul 21, 2006",92.5
"Jul 28, 2006",90.8
"Aug 04, 2006",91.6
"Aug 11, 2006",91.5
"Aug 18, 2006",92.8
"Aug 25, 2006",92.9
"Sep 01, 2006",93.6
"Sep 08, 2006",93
"Sep 15, 2006",93.4
"Sep 22, 2006",92.4
"Sep 29, 2006",89.9
"Oct 06, 2006",89.2
"Oct 13, 2006",86.3
"Oct 20, 2006",86.2
"Oct 27, 2006",88.9
"Nov 03, 2006",88.1
"Nov 10, 2006",87.3
"Nov 17, 2006",87.1
"Nov 24, 2006",88.1
"Dec 01, 2006",90.5
"Dec 08, 2006",89.1
"Dec 15, 2006",90.7
"Dec 22, 2006",90.9
"Dec 29, 2006",91
"Jan 05, 2007",91.5
"Jan 12, 2007",87.9
"Jan 19, 2007",87.4
"Jan 26, 2007",87.1
"Feb 02, 2007",87.3
"Feb 09, 2007",86.6
"Feb 16, 2007",85.2
"Feb 23, 2007",86
"Mar 02, 2007",85.8
"Mar 09, 2007",85.6
"Mar 16, 2007",86.3
"Mar 23, 2007",87
"Mar 30, 2007",87
"Apr 06, 2007",88.4
"Apr 13, 2007",90.4
"Apr 20, 2007",87.8
"Apr 27, 2007",88.3
"May 04, 2007",89
"May 11, 2007",89.5
"May 18, 2007",91.1
"May 25, 2007",91.1
"Jun 01, 2007",89.6
"Jun 08, 2007",89.2
"Jun 15, 2007",87.6
"Jun 22, 2007",89.4
"Jun 29, 2007",90
"Jul 06, 2007",90.2
"Jul 13, 2007",91
"Jul 20, 2007",91.7
"Jul 27, 2007",93.6
"Aug 03, 2007",91.3
"Aug 10, 2007",91.8
"Aug 17, 2007",91.6
"Aug 24, 2007",90.3
"Aug 31, 2007",92.1
"Sep 07, 2007",90.5
"Sep 14, 2007",89.6
"Sep 21, 2007",86.9
"Sep 28, 2007",87.5
"Oct 05, 2007",87.8
"Oct 12, 2007",87.3
"Oct 19, 2007",87.1
"Oct 26, 2007",86.2
"Nov 02, 2007",86.2
"Nov 09, 2007",87.7
"Nov 16, 2007",87
"Nov 23, 2007",89.4
"Nov 30, 2007",89.4
"Dec 07, 2007",88.8
"Dec 14, 2007",87.8
"Dec 21, 2007",88.1
"Dec 28, 2007",89.4
"Jan 04, 2008",91.3
"Jan 11, 2008",87.1
"Jan 18, 2008",86.5
"Jan 25, 2008",85
"Feb 01, 2008",84.3
"Feb 08, 2008",85.1
"Feb 15, 2008",83.5
"Feb 22, 2008",84.7
"Feb 29, 2008",85.9
"Mar 07, 2008",85
"Mar 14, 2008",83.8
"Mar 21, 2008",82.2
"Mar 28, 2008",82.4
"Apr 04, 2008",83
"Apr 11, 2008",81.4
"Apr 18, 2008",85.6
"Apr 25, 2008",85.4
"May 02, 2008",85
"May 09, 2008",86.6
"May 16, 2008",87.9
"May 23, 2008",87.9
"May 30, 2008",89.7
"Jun 06, 2008",88.6
"Jun 13, 2008",89.3
"Jun 20, 2008",88.6
"Jun 27, 2008",89.2
"Jul 04, 2008",89.2
"Jul 11, 2008",89.5
"Jul 18, 2008",87.1
"Jul 25, 2008",87.2
"Aug 01, 2008",87
"Aug 08, 2008",85.9
"Aug 15, 2008",85.7
"Aug 22, 2008",87.3
"Aug 29, 2008",88.7
"Sep 05, 2008",78.3
"Sep 12, 2008",77.4
"Sep 19, 2008",66.7
"Sep 26, 2008",72.3
"Oct 03, 2008",80.9
"Oct 10, 2008",82.2
"Oct 17, 2008",84.8
"Oct 24, 2008",85.3
"Oct 31, 2008",85.3
"Nov 07, 2008",84.6
"Nov 14, 2008",84.9
"Nov 21, 2008",86.2
"Nov 28, 2008",84.3
"Dec 05, 2008",87.4
"Dec 12, 2008",84.1
"Dec 19, 2008",84.7
"Dec 26, 2008",82.5
"Jan 02, 2009",84.6
"Jan 09, 2009",85.2
"Jan 16, 2009",83.3
"Jan 23, 2009",82.5
"Jan 30, 2009",83.5
"Feb 06, 2009",81.6
"Feb 13, 2009",82.3
"Feb 20, 2009",81.4
"Feb 27, 2009",83.1
"Mar 06, 2009",82.7
"Mar 13, 2009",82.1
"Mar 20, 2009",82
"Mar 27, 2009",81.7
"Apr 03, 2009",81.8
"Apr 10, 2009",80.4
"Apr 17, 2009",83.4
"Apr 24, 2009",82.7
"May 01, 2009",85.3
"May 08, 2009",83.7
"May 15, 2009",81.8
"May 22, 2009",85.1
"May 29, 2009",86.3
"Jun 05, 2009",85.9
